Country,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4
Argentina,-2.176492064,-5.140582449,-5.124917266,-1.014421187,-0.106447324,-0.59039067,-0.557525176,-1.893523605,-1.397726021,-0.616979289,-4.991747166,-10.67644304,-15.21974382,-14.14787106,-9.897878081,-3.483175649,5.274229353,8.146920201,10.70716572,11.64683959,11.17023883,6.532382762,9.236226466,8.773201036,8.397313698,11.94212494,7.334243679,7.878575042,7.57641215,6.647839627,8.850391109,9.070957796,8.773553556,9.820143157,8.24667713,9.199109391,7.686809159,6.029256796,5.420914509,-2.55540381,-6.96505636,-9.52141503,-6.722446967,-0.236996261,6.69094716,13.96236181,10.24271575,9.701261586,9.022423873,5.278638204,5.607105375,4.272333179,0.735630529,-3.661014176,-1.381971486,0.209608986,1.293796941,5.446657801,2.873164429,0.14475302,-1.337824149,-2.442575096,-3.852220552,-2.403130412,0.562409542,3.503821555,4.279632628,2.604908132,0.241692725,-3.688178045,-3.270413478,-1.547616059,0.308066259,2.851792371,3.824630528,4.314798724,3.14760131,-2.841412139,-4.175373008,-6.237631186,-5.985322392,-1.352170763,-0.450371189,-0.334088754
Australia,5.326421284,4.649523246,3.868773525,4.024807415,3.615974069,4.221488575,3.217332759,1.108088358,1.75660529,1.666696427,2.692173343,4.326886953,4.050421299,4.923739471,4.038083073,3.547592754,2.879735309,1.526955229,2.859135053,3.858943701,4.57621006,4.914594737,3.985261635,3.032148814,3.019603376,2.800442539,3.10825395,3.18124557,2.592042062,2.306817417,2.738358497,3.18065509,4.502891765,4.940544321,4.543968906,3.740529477,3.375881568,3.000418623,2.659647878,1.6523367,1.55204376,1.892520328,1.418145902,2.657668089,2.118805938,2.077431539,2.474172142,2.765036362,1.973306257,2.639371803,3.305658584,3.43255109,4.679139481,4.247935211,3.456955436,2.855265984,2.177542699,1.875936291,2.091860049,2.361605125,2.785249862,2.887799644,2.556348047,2.106500924,2.262158716,1.852281992,2.455353983,2.651308615,2.682229877,3.288134094,2.333190574,2.780646062,2.199276366,2.161957567,2.981790199,2.436992386,3.074339856,3.265167504,2.558757918,2.181996895,1.699904112,1.557471399,1.824480074,2.279479365
Austria,2.786130962,2.984391355,3.762786753,3.971240247,4.305731197,3.726557272,2.835723124,3.86766883,2.292867475,1.463225705,1.122795118,0.062326617,1.244557393,2.116868929,2.338155194,1.22598062,1.297173133,0.746494332,0.626061517,1.28781039,1.685629723,2.210182661,2.915156542,3.128822458,2.030679494,2.444832664,2.296101157,2.915438603,3.823788688,3.148211762,3.577448683,3.721398332,3.52624929,4.348247247,3.573433942,3.353094864,2.975023993,2.775305385,1.705437776,-1.421500963,-3.625779021,-5.342942324,-4.319595343,-1.719047465,-0.258035537,1.854291239,2.284028901,3.019534526,4.301606578,3.244992882,3.071750768,1.887020109,1.632411863,0.994203151,0.163443584,0.188487469,-0.87300855,-0.262770863,0.262762677,0.74156147,0.825541973,1.305695549,0.734507553,0.3882939,1.047949711,0.469461502,1.116373267,1.118811447,1.91457758,1.663715966,1.68334745,2.677005765,2.230721764,2.888648966,2.757890253,2.1194045,2.585593857,2.482768746,2.297360172,2.701434749,2.334226768,1.564396021,1.647826781,0.249999277
Belgium,1.904799309,2.956680585,4.147585346,5.145646191,4.798242571,4.127696246,3.112976565,2.902469136,2.233500049,1.521366065,0.860147315,-0.215954218,0.585145927,1.42783499,2.16566171,2.649962126,1.506806857,0.86047941,0.733625686,1.056515373,2.842043453,3.609431397,4.087253884,3.736801233,2.742948498,2.374112111,1.890494825,2.307236791,2.397412528,2.148910077,2.642265239,3.017495577,3.839182017,3.944579043,3.832958079,3.083887246,2.082244476,1.682569743,0.31390366,-2.258376355,-3.625919024,-3.641015145,-1.849735973,1.131078891,2.654143247,3.616108409,2.749811226,2.447017697,2.409563732,1.620424939,1.488149917,1.272481695,1.003608138,0.79376286,0.750261485,0.411142977,-0.079050592,0.505328464,0.571981872,0.83789398,1.55021681,1.228594186,1.612887217,1.921343752,2.012721266,2.426382359,1.918418379,1.811273819,1.34272954,1.219500485,1.203756948,1.300882844,1.891543855,1.575736878,1.343800902,1.623358269,1.412683256,1.653093246,2.054852124,2.12588424,1.848108043,1.682255012,1.849579724,1.595947492
Brazil,0.686828727,-0.437703775,-0.455957336,2.129525575,3.006717269,3.961982624,5.192912941,4.995566023,4.215693454,2.303955994,0.578880161,-0.969342446,1.12245118,1.972618753,3.813448141,5.206790221,2.283381569,1.046560608,0.659715615,0.683280651,2.512508577,6.262345594,6.593393776,6.30766085,5.714138918,4.11234525,2.133750359,2.679941212,3.459681688,2.549675101,4.975953368,4.850719898,5.124001256,6.541290173,5.888356795,6.216205053,5.55387972,6.031216844,6.56545564,1.032710676,-1.561376769,-1.908588235,-1.139859152,5.365627387,9.12538144,8.50572096,6.968788819,5.760302337,5.016955429,4.747609941,3.599464206,3.103471196,0.234502781,1.04480216,3.044354414,2.083122829,4.067491103,3.790555161,2.407383954,2.58044781,2.955720119,-0.095994834,-0.546989326,-0.176238222,-1.793431979,-2.673832048,-4.229241906,-5.471435602,-6.168050616,-3.47607546,-2.45541829,-1.765343798,0.860003451,1.234665174,1.996413646,2.399979772,1.785475916,0.797570101,1.46311384,0.763515671,0.773836304,1.443797991,0.691143859,1.621077426
Bulgaria,-9.363217392,-5.589268473,-7.102201349,-10.83291724,-0.806751222,2.80088695,4.514286526,11.52086495,3.441618897,3.515834397,4.046243676,4.495853187,5.362674717,5.980045338,6.152992607,5.790725219,5.552654609,4.919029109,4.566294015,5.650172745,5.416244869,6.477151525,7.481389689,6.781329805,7.846704194,7.2455751,6.403467833,6.716395455,6.057599946,6.403428496,7.268122784,7.244400716,7.052356312,7.27799431,6.319162586,6.830934518,7.214508197,6.329883802,6.141221199,4.222524774,-1.511602529,-2.791452889,-3.155991046,-6.444459166,-1.782947878,-0.103026343,-0.125536175,4.140017739,3.454878771,2.986399636,2.395021725,1.180878477,1.345031378,0.013560788,-0.215305072,-0.216856484,-0.567752248,-0.265884742,0.559291376,1.112129581,1.236819362,2.101843345,2.020485034,2.74007303,3.676125132,3.658483146,4.358537211,4.077996595,3.972041092,4.075001267,3.470467335,3.810282369,3.607562438,3.503218576,3.66452122,3.231820762,3.005581744,3.092117518,3.323992428,3.476067289,4.166037802,3.812064991,3.318155766,3.086850291
Canada,4.194104167,5.009661214,5.690714411,5.738706566,5.516373336,5.88475154,5.313760943,4.030670264,2.934982125,2.000024935,0.905883926,1.346715383,2.309048819,2.635438778,3.592704106,3.530710093,2.581037167,1.829610796,1.33311469,1.475555706,1.644029179,3.003268745,3.831186233,3.860541692,3.474673797,3.001929546,3.033425786,3.309946552,3.788607776,3.094238728,2.144768711,1.547877248,1.375255855,2.304651418,2.448100483,2.15730178,1.585825708,0.974880143,1.377281448,0.08807601,-2.248517705,-3.663660624,-4.017306655,-1.758873711,1.724913568,3.385402366,3.651720446,3.601873242,3.140203861,2.80319874,3.488097449,3.150369226,2.442677819,2.576982045,1.318874171,0.73508073,1.573583484,1.830937489,2.521181159,3.384447333,2.632805647,2.972572204,3.119733603,2.75380714,2.022401696,0.823871439,0.219332497,-0.394869166,0.704858556,0.483168091,1.161554002,1.653443587,2.263320141,3.980446675,3.28615794,3.156515506,2.536087251,1.736941834,1.991787685,1.797620646,1.537688781,1.953217679,1.619975468,1.514250534
Chile,-2.345096542,-3.999743151,-1.137973834,4.746771837,5.470718815,5.163414822,4.137393538,3.133435319,3.909925092,4.749313346,2.548029688,2.228416214,2.016226946,0.968933949,2.266307892,3.411896075,3.442378561,4.566615285,4.575144806,3.259144014,4.810334596,6.203928951,8.487706225,9.163232805,6.499424802,5.918192552,5.409965923,5.390861842,6.330046475,6.805144046,5.740632435,6.417569163,6.522902728,5.330994779,4.125367055,3.76181786,5.257418158,4.379326715,3.464974942,0.924401208,-2.567173141,-3.169667256,-1.305709955,0.849598359,2.173429419,6.280380095,7.564322561,7.5038431,8.64297282,6.330727934,4.270162004,5.051101178,5.538594962,5.676510642,5.93323277,4.693656449,4.009120547,4.066286611,4.376707388,3.87600416,2.764171045,1.640803578,0.792855137,1.701214265,1.848985266,2.552663651,2.406420776,2.218392794,2.646895021,1.158188728,1.739334875,0.991661862,-0.391355573,0.962467267,2.260984587,2.792307363,4.97479035,5.025450678,2.987170853,3.033499417,1.888050929,1.85339829,2.7730162,-2.389011955
China,8.9,7.9,7.6,6.7,8.7,9.1,8.8,7.5,9.5,8.6,8,7.5,8.9,8.8,9.6,9.1,11.1,9.1,10,10,10.6,11.6,9.8,8.8,11.1,11.1,10.8,12.4,12.5,13.7,12.2,12.5,13.8,15,14.3,13.9,11.5,10.9,9.5,7.1,6.4,8.2,10.6,11.9,12.2,10.8,9.9,9.9,10.2,10,9.4,8.8,8.1,7.7,7.5,8.1,7.9,7.6,7.9,7.7,7.5,7.6,7.2,7.3,7.1,7.1,7,6.9,6.9,6.8,6.8,6.9,7,7,6.9,6.8,6.9,6.9,6.7,6.5,6.4,6.2,6,6
Czech Republic,0.399778794,0.510533922,1.499735756,2.513004854,3.822594496,4.464851557,4.84766471,4.181233116,3.994814882,3.229123684,2.349362137,2.575581358,1.257165403,1.464313774,1.587956923,1.646968146,2.874008957,3.467660567,3.872414983,4.095263986,4.034002289,4.193154122,4.741652403,5.662374895,6.462093235,6.672211091,6.769393278,6.787167824,6.811540694,7.433252362,7.045629908,6.495181988,6.388068346,5.17776676,5.380114303,5.30365568,4.083506491,3.916990033,2.671576551,-0.504319899,-4.348722898,-5.35116231,-5.127095945,-3.21669631,0.858533542,2.415174193,2.761149594,3.094279706,2.977666546,2.100367012,1.157477831,0.840364338,0.047457413,-0.741841408,-0.940187075,-1.210009948,-1.397476686,-0.539871749,0.179826544,1.598418801,1.344840222,2.016764248,2.836811976,2.833270083,5.354147912,5.758098746,5.678336415,5.073652247,3.400967833,2.318314004,1.934540025,2.152873268,3.678978723,6.078584329,5.846256411,5.813529435,4.776856221,2.647596956,2.690298733,2.594810222,2.449348608,2.373962569,2.282940943,1.968243963
