,Value
Argentina,Asia & America
Australia,Asia & America
Austria,West EU
Belgium,West EU
Brazil,Asia & America
Bulgaria,West EU
Canada,Asia & America
Chile,Asia & America
China,Asia & America
Czech Republic,West EU
Denmark,East EU
Estonia,East EU
Finland,East EU
France,West EU
Germany,West EU
Greece,West EU
Hungary,West EU
India,Asia & America
Indonesia,Asia & America
Ireland,West EU
Israel,West EU
Italy,West EU
Japan,Asia & America
"Korea, Rep.",Asia & America
Latvia,East EU
Lithuania,East EU
Mexico,Asia & America
Netherlands,West EU
New Zealand,Asia & America
Norway,East EU
Poland,West EU
Portugal,West EU
Russian Federation,East EU
Slovak Republic,West EU
Slovenia,West EU
South Africa,Asia & America
Spain,West EU
Sweden,East EU
Switzerland,West EU
Turkey,West EU
Ukraine,East EU
United Kingdom,West EU
United States,Asia & America
