,Reporter Name,Partner Name,mean
10,Slovenia,Argentina,0.05587916666666667
13,Slovenia,Australia,0.22147499999999998
14,Slovenia,Austria,7.657070833333333
21,Slovenia,Belgium,1.1303850000000002
32,Slovenia,Brazil,0.15474583333333333
36,Slovenia,Bulgaria,0.5748083333333334
42,Slovenia,Canada,0.2685458333333333
47,Slovenia,Chile,0.031400000000000004
48,Slovenia,China,0.4007583333333333
50,Slovenia,Colombia,0.05034166666666665
61,Slovenia,Czech Republic,2.1521166666666667
62,Slovenia,Denmark,0.9261416666666666
73,Slovenia,Estonia,0.09309166666666668
80,Slovenia,Finland,0.25147083333333337
83,Slovenia,France,6.490041666666667
88,Slovenia,Germany,23.052825
91,Slovenia,Greece,0.33913333333333334
105,Slovenia,Hungary,2.331420833333333
106,Slovenia,Iceland,0.0128
107,Slovenia,India,0.24545416666666667
108,Slovenia,Indonesia,0.03840833333333334
111,Slovenia,Ireland,0.12995416666666668
112,Slovenia,Israel,0.13710833333333333
113,Slovenia,Italy,12.581541666666666
115,Slovenia,Japan,0.18075833333333335
121,Slovenia,"Korea, Rep.",0.15716666666666665
126,Slovenia,Latvia,0.11233749999999998
131,Slovenia,Lithuania,0.25300416666666664
132,Slovenia,Luxembourg,0.1457
145,Slovenia,Mexico,0.16405416666666667
158,Slovenia,Netherlands,1.6839375000000005
161,Slovenia,New Zealand,0.021925
170,Slovenia,Norway,0.21660000000000001
180,Slovenia,Poland,2.7498375
181,Slovenia,Portugal,0.23407083333333334
183,Slovenia,Romania,1.101425
184,Slovenia,Russian Federation,3.3205875
197,Slovenia,Slovak Republic,1.3693458333333333
200,Slovenia,South Africa,0.11570833333333332
204,Slovenia,Spain,1.2592583333333331
213,Slovenia,Sweden,0.9248166666666666
214,Slovenia,Switzerland,1.2634874999999999
224,Slovenia,Turkey,0.7862208333333335
231,Slovenia,United Kingdom,2.2530916666666663
232,Slovenia,United States,2.296608333333333
253,Lithuania,Argentina,0.04088
256,Lithuania,Australia,0.062116
257,Lithuania,Austria,0.39753200000000005
264,Lithuania,Belgium,1.6301649999999999
275,Lithuania,Brazil,0.036308
279,Lithuania,Bulgaria,0.194212
285,Lithuania,Canada,0.625608
290,Lithuania,Chile,0.01502
291,Lithuania,China,0.20958
293,Lithuania,Colombia,0.014580000000000003
304,Lithuania,Czech Republic,0.697248
305,Lithuania,Denmark,3.492475999999999
316,Lithuania,Estonia,4.5481799999999994
322,Lithuania,Finland,1.257864
325,Lithuania,France,3.4626680000000003
330,Lithuania,Germany,10.120808
333,Lithuania,Greece,0.13826
344,Lithuania,Hungary,0.47092799999999996
345,Lithuania,Iceland,0.17692
346,Lithuania,India,0.24783999999999998
347,Lithuania,Indonesia,0.017783333333333335
350,Lithuania,Ireland,0.446136
351,Lithuania,Israel,0.09984399999999999
352,Lithuania,Italy,2.282612
354,Lithuania,Japan,0.270308
360,Lithuania,"Korea, Rep.",0.22986399999999999
365,Lithuania,Latvia,10.336896000000001
370,Lithuania,Luxembourg,0.041445
382,Lithuania,Mexico,0.076716
