,from_influ,to_influ,kr_influ
Argentina,1037177563234.4382,2475494061909453.5,1478688798544.5803
Australia,1036616484553.5426,5221286171967531.0,1474311271201.8489
Austria,1037377147391.8672,1426094859165053.0,1479580224179.0442
Belgium,1037216239021.6719,2146912234680453.8,1478579312989.417
Brazil,1036365597518.622,6590650940559022.0,1474463449602.3662
Bulgaria,1037618297952.2411,303320934375651.06,1480888779220.3254
Canada,1036749994847.7826,4529246491344789.0,1475714385824.9126
Chile,1037477771502.3698,1023869748883904.4,1479929477749.7786
China,1029852980104.8354,3.8919655524682e+16,1419652045966.9253
Czech Republic,1037195183833.5441,2376475620303309.5,1478553292714.6687
Denmark,1037391133035.4586,1430977301870688.0,1479653711664.3557
Estonia,1037641036227.3434,190518506440465.62,1481012289999.904
Finland,1037496054462.3301,936772635168807.9,1480193394129.4316
France,1035992890217.8064,8560235106645364.0,1472285960114.2896
Germany,1032854402843.5636,2.5189382313153892e+16,1454750252275.7551
Greece,1037611618229.7931,373755110141685.2,1480821361175.7375
Hungary,1037373366054.9603,1786374658877618.0,1479489033671.5613
India,1036597831592.7454,5558014638319969.0,1474688868919.755
Indonesia,1036927342292.2739,3864260573484668.5,1475333807908.6094
Ireland,1037460111091.1768,1148483440351631.8,1479990684355.9722
Israel,1037557542799.0178,648977338891668.4,1480506156606.7214
Italy,1036201206879.664,8084954121116831.0,1473390674141.0454
Japan,1031721833761.4742,3.0806670216569596e+16,1439975726225.5808
"Korea, Rep.",1036590158945.3048,6162362773121428.0,1452756368317.7893
Latvia,1037642728652.5801,204065394384924.88,1481025145278.2942
Lithuania,1037598905798.5751,453631328475798.7,1480795163470.7288
Mexico,1036950387317.3253,3728964239565310.0,1476786546950.4287
Netherlands,1037151520635.892,3859759360808346.5,1478121028825.382
New Zealand,1037569784147.9641,611107650254865.1,1480512456010.7664
Norway,1037304784909.3761,2034525061469286.5,1479168153527.406
Poland,1036821209482.659,4863524511664184.0,1476559208352.1387
Portugal,1037598662505.4844,478728293418052.7,1480782814690.4712
Slovak Republic,1037531940652.9844,1104981830871175.9,1480351347544.954
Slovenia,1037618232311.0721,406362303554393.44,1480868958455.1013
South Africa,1037471460251.6305,1157658990456475.0,1479995169110.19
Spain,1037113316912.9032,3345024728995594.5,1478181155570.671
Sweden,1037304043395.1414,2314271402602854.5,1479188213293.1982
Switzerland,1037391469572.3323,1889433036647846.2,1479641125249.3247
Turkey,1037412054044.6305,1520883733135766.2,1479683145547.841
United Kingdom,1036405914111.8821,7564770255729222.0,1474145507638.864
United States,1028220718272.5375,5.1371049398161384e+16,1424306838095.9253
