country,from_influ,to_influ,kr_influ
Argentina,1.03718E+12,2.47549E+15,1.47869E+12
Australia,1.03662E+12,5.22129E+15,1.47431E+12
Austria,1.03738E+12,1.42609E+15,1.47958E+12
Belgium,1.03722E+12,2.14691E+15,1.47858E+12
Brazil,1.03637E+12,6.59065E+15,1.47446E+12
Bulgaria,1.03762E+12,3.03321E+14,1.48089E+12
Canada,1.03675E+12,4.52925E+15,1.47571E+12
Chile,1.03748E+12,1.02387E+15,1.47993E+12
China,1.02985E+12,3.89E+16,1.41965E+12
Czech Republic,1.0372E+12,2.37648E+15,1.47855E+12
Denmark,1.03739E+12,1.43098E+15,1.47965E+12
Estonia,1.03764E+12,1.90519E+14,1.48101E+12
Finland,1.0375E+12,9.36773E+14,1.48019E+12
France,1.03599E+12,8.56024E+15,1.47229E+12
Germany,1.03285E+12,2.52E+16,1.45475E+12
Greece,1.03761E+12,3.73755E+14,1.48082E+12
Hungary,1.03737E+12,1.78637E+15,1.47949E+12
India,1.0366E+12,5.55801E+15,1.47469E+12
Indonesia,1.03693E+12,3.86426E+15,1.47533E+12
Ireland,1.03746E+12,1.14848E+15,1.47999E+12
Israel,1.03756E+12,6.48977E+14,1.48051E+12
Italy,1.0362E+12,8.08495E+15,1.47339E+12
Japan,1.03172E+12,3.08E+16,1.43998E+12
"Korea, Rep.",1.03659E+12,6.16236E+15,1.45276E+12
Latvia,1.03764E+12,2.04065E+14,1.48103E+12
Lithuania,1.0376E+12,4.53631E+14,1.4808E+12
Mexico,1.03695E+12,3.72896E+15,1.47679E+12
Netherlands,1.03715E+12,3.85976E+15,1.47812E+12
New Zealand,1.03757E+12,6.11108E+14,1.48051E+12
Norway,1.0373E+12,2.03453E+15,1.47917E+12
Poland,1.03682E+12,4.86352E+15,1.47656E+12
Portugal,1.0376E+12,4.78728E+14,1.48078E+12
Slovak Republic,1.03753E+12,1.10498E+15,1.48035E+12
Slovenia,1.03762E+12,4.06362E+14,1.48087E+12
South Africa,1.03747E+12,1.15766E+15,1.48E+12
Spain,1.03711E+12,3.34502E+15,1.47818E+12
Sweden,1.0373E+12,2.31427E+15,1.47919E+12
Switzerland,1.03739E+12,1.88943E+15,1.47964E+12
Turkey,1.03741E+12,1.52088E+15,1.47968E+12
United Kingdom,1.03641E+12,7.56477E+15,1.47415E+12
United States,1.02822E+12,5.14E+16,1.42431E+12
