country,value
United States,1.02822E+12
China,1.02985E+12
Japan,1.03172E+12
Germany,1.03285E+12
France,1.03599E+12
Italy,1.0362E+12
Brazil,1.03637E+12
United Kingdom,1.03641E+12
"Korea, Rep.",1.03659E+12
India,1.0366E+12
Australia,1.03662E+12
Canada,1.03675E+12
Poland,1.03682E+12
Indonesia,1.03693E+12
Mexico,1.03695E+12
Spain,1.03711E+12
Netherlands,1.03715E+12
Argentina,1.03718E+12
Czech Republic,1.0372E+12
Belgium,1.03722E+12
Sweden,1.0373E+12
Norway,1.03731E+12
Hungary,1.03737E+12
Austria,1.03738E+12
Denmark,1.03739E+12
Switzerland,1.03739E+12
Turkey,1.03741E+12
Ireland,1.03746E+12
South Africa,1.03747E+12
Chile,1.03748E+12
Finland,1.0375E+12
Slovak Republic,1.03753E+12
Israel,1.03756E+12
New Zealand,1.03757E+12
Portugal,1.0376E+12
Lithuania,1.0376E+12
Greece,1.03761E+12
Slovenia,1.03762E+12
Bulgaria,1.03762E+12
Estonia,1.03764E+12
Latvia,1.03764E+12
