Country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,405463417.1,487602457.7,596423607.1,695304363,764887117.2,872138715.1,958463184.4,1082979721,1245688268,1320474860,1379960894,1531944134,1665100559,1722798883,1873452514,1920111732,1941340782,2021229050,2228491620,2330726257,2424581006,2615083799,2745251397,2498882682,2390502793,2549720670,2534636872,2701675978,2765363128,2919553073,2965921788,3056424581,,,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,537777811.1,548888895.6,546666677.8,751111191.1,800000044.4,1006666638,1399999967,1673333418,1373333367,1408888922,1748886596,1831108971,1595555476,1733333264,2155555498,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,,,,,,,,,,,,,,,,,,,,,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,1.01092E+10,1.24391E+10,1.58566E+10,1.78043E+10,2.00016E+10,2.05611E+10,2.04849E+10,1.99071E+10,1.80177E+10,1.88699E+10,1.83539E+10,1.92911E+10,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,5930503401,5550483036,5550483036,5784341596,6131475065,7553560459,7072063345,8083872012,8769250550,1.02011E+10,1.12288E+10,1.06038E+10,8307810974,5768720422,4438321017,5538749260,7526446606,7648377413,6506229607,6152922943,9129594819,8936063723,1.52856E+10,1.78127E+10,2.35521E+10,3.69709E+10,5.2381E+10,6.52665E+10,8.85386E+10,7.03072E+10,8.37995E+10,1.1179E+11,1.28053E+11,1.3671E+11,1.45712E+11,1.16194E+11,1.01124E+11,1.22124E+11,1.01353E+11,8.88157E+10,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1857338012,1897050133,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880951520,2392764853,3199642580,2258515610,2545967253,3212119044,3480355189,3922099471,4348070165,5611492283,7184681399,8052075642,8896073938,1.06773E+10,1.28814E+10,1.20442E+10,1.19269E+10,1.28908E+10,1.23198E+10,1.27762E+10,1.32281E+10,1.13868E+10,1.18612E+10,1.30197E+10,1.5147E+10,1.52792E+10,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78619206.09,89409820.36,113408231.9,150820102.8,186558696.3,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594,611316399.4,721425939.2,795449332.4,1029048482,1106928583,1210013652,1007025755,1017549124,1178738991,1223945357,1180597273,1211932398,1239876305,1429049198,1546926174,1755910032,2361726862,2894921778,3159905484,3456442103,3952600602,4085630584,3674409558,3449966857,3629203786,3188808943,3193704343,3271808157,2789870188,2896679212,3000180750,3218316013,3154057987,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,2.58916E+10,2.84291E+10,3.20133E+10,3.70451E+10,4.41821E+10,5.59221E+10,1.05711E+11,1.17103E+11,1.45485E+11,1.6753E+11,1.8397E+11,2.48971E+11,3.37549E+11,3.48014E+11,3.26468E+11,3.06719E+11,3.11103E+11,3.07935E+11,2.94002E+11,3.13464E+11,3.0833E+11,3.23313E+11,4.47403E+11,4.41364E+11,4.72396E+11,4.7775E+11,4.88311E+11,5.24627E+11,5.79109E+11,6.14123E+11,5.92264E+11,6.44527E+11,7.35685E+11,7.22917E+11,7.26833E+11,8.2109E+11,9.65101E+11,1.18614E+12,1.406E+12,1.63931E+12,2.08097E+12,1.79574E+12,2.10333E+12,2.49403E+12,2.7735E+12,2.85637E+12,2.89439E+12,2.53472E+12,2.46944E+12,2.51612E+12,2.77138E+12,2.81741E+12,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,1.47207E+10,1.9213E+10,2.48718E+10,2.37758E+10,3.12255E+10,4.35987E+10,4.93334E+10,4.66227E+10,4.28033E+10,4.1808E+10,4.06037E+10,3.39436E+10,3.63849E+10,3.62757E+10,4.1465E+10,5.07014E+10,5.15522E+10,5.42392E+10,5.56252E+10,5.93051E+10,6.57437E+10,7.35712E+10,7.8839E+10,7.56743E+10,8.44455E+10,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22117E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.89787E+11,3.50666E+11,3.74591E+11,3.90108E+11,4.03137E+11,3.58135E+11,3.57045E+11,3.85606E+11,4.22215E+11,4.21142E+11,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,,,2.44506E+10,1.82721E+10,2.56052E+10,2.83447E+10,2.86305E+10,2.42567E+10,2.64369E+10,3.12563E+10,3.15842E+10,3.32932E+10,3.4733E+10,5.2544E+10,7.24368E+10,5.24386E+10,5.11695E+10,5.6781E+10,5.80829E+10,6.92523E+10,7.69619E+10,7.86768E+10,8.43075E+10,1.03979E+11,7.9092E+10,8.84167E+10,1.10934E+11,1.11106E+11,1.26207E+11,7.66369E+10,1.41352E+11,1.8972E+11,2.28789E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,9.7724E+10,1.27587E+11,1.64658E+11,1.98737E+11,2.32557E+11,2.87531E+11,3.61558E+11,3.32976E+11,4.23627E+11,5.30163E+11,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57531E+11,6.43629E+11,5.17627E+11,4.45445E+11,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858,2068526522,1272577456,1201313201,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,1.1662E+10,8647936748,9260284938,1.01421E+10,1.06193E+10,1.11215E+10,1.16095E+10,1.05533E+10,1.05461E+10,1.15275E+10,1.24579E+10,1.36728E+10,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,642000000,661000000,652000000,602000000,636000000,,
