Country,2000 수출,2000 수입,2001 수출,2001 수입,2002 수출,2002 수입,2003 수출,2003 수입,2004 수출,2004 수입,2005 수출,2005 수입,2006 수출,2006 수입,2007 수출,2007 수입,2008 수출,2008 수입,2009 수출,2009 수입,2010 수출,2010 수입,2011 수출,2011 수입,2012 수출,2012 수입,2013 수출,2013 수입,2014 수출,2014 수입,2015 수출,2015 수입,2016 수출,2016 수입,2017 수출,2017 수입,2018 수출,2018 수입,2019 수출,2019 수입
Argentina,9.28,8.85,9.88,7.56,26.25,9.2,23.17,10.84,20.98,13.63,20.16,14.44,20.02,14.69,19.4,15.55,19.52,15.88,16.89,11.74,16.17,13.32,15.85,14.02,14.82,12.55,15.04,13.41,13.68,12.41,9.54,10.05,10.35,9.97,9.12,10.42,11.88,12.6,14.48,10.92
Australia,15.37,17.24,16.74,17,16.47,18.5,15.07,19.09,14.14,17.88,15.3,18.04,16.55,18.67,16.57,19.38,17.63,19.01,16.63,17.83,18.55,17.62,19.36,17.43,16.58,16.85,16.03,15.36,16.35,16.17,13.89,15.45,15.92,16.23,17.37,17.2,17.94,16.41,19.45,15.9
Austria,32.61,35.05,33.7,35.72,34.28,34.14,34.11,35,37.13,37.67,37.23,37.94,38.8,38.97,40.47,40.33,40.27,40.92,32.69,34.02,36.97,38.43,39.33,42.3,38.79,41.44,38.85,40.36,38.5,39.04,38.19,38.79,36.72,37.98,38.32,39.84,38.92,40.46,38.58,39.63
Belgium,79.54,74.93,80.48,75.55,83.99,77.09,80.54,74.03,83.52,77.74,87.02,82.7,89.91,86.53,91.82,87.83,91.55,90.48,77.18,73.71,84.77,81.35,91.03,89.34,89.95,88.58,89.84,86.57,88.31,84.86,85.85,81.26,83.71,79.73,85.38,81.21,86.36,83.79,84.07,80.55
Brazil,8.41,9.01,10.42,10.48,10.57,8.82,13.11,9.12,14.45,9.93,13.3,8.7,12.44,8.66,11.5,9.07,11.67,10.77,9.17,8.02,9.14,8.68,9.8,9.07,9.85,9.48,9.79,10.14,9.17,9.74,10.62,9.94,10.31,7.99,10.56,7.64,12.69,10,12.25,10.02
Bulgaria,36.4,49.11,36.06,51.21,35.05,48.69,35.66,51.56,37.97,55.31,39.3,60.81,43.93,67.68,41.83,67.75,41.3,68,31.5,45.29,40.84,50.58,49.2,56.79,49.38,60.56,53.19,61.7,51.55,60.93,50.31,57.68,49.62,53.84,53.59,58.12,50.33,57.33,NaN,NaN
Canada,37.46,NaN,35.45,NaN,33.31,NaN,30.53,NaN,30.99,NaN,31.7,27.38,30.29,27.12,29.39,26.52,29.74,26.98,23.55,23.99,24.32,24.9,25.8,25.77,25.26,25.98,25.19,25.61,26.58,26.34,26.36,27.6,25.75,27.02,25.7,26.84,26.32,27.31,25.84,26.64
Chile,24.72,23.72,25.74,25.08,26.07,24.59,28.62,25.44,33.29,24.91,34.13,26.78,38.36,25.19,39.49,27.42,35.91,34.96,32.17,24.85,32.54,27,32.28,29.67,29.22,29.98,27.58,28.51,28.81,27.96,25.43,25.62,24.25,23.49,0.04,0.04,0.04,0.04,NaN,NaN
China,20.58,18.58,19.87,18.18,22.14,20.07,26.39,24.86,30.34,28.7,33.34,28.88,35.22,28.77,34.31,26.93,31.1,24.64,23.55,19.72,25.92,22.94,25.14,23.09,24.01,21.3,23.1,20.37,22.37,18.74,20.63,15.19,19.02,14.15,18.52,14.97,NaN,NaN,NaN,NaN
Colombia,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0,0.02,0,0.02,12.19,14.77,12.56,15.36,12.2,16.28
