LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,2020-Q2,Q2-2020,PC,Percentage,0,Units,,,-19.77030693,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,2020-Q3,Q2-2020,PC,Percentage,0,Units,,,-9,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,1994-Q1,Q1-1994,PC,Percentage,0,Units,,,7.268922348,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,1994-Q2,Q2-1994,PC,Percentage,0,Units,,,6.450531759,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,1994-Q3,Q3-1994,PC,Percentage,0,Units,,,4.616171108,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,1994-Q4,Q4-1994,PC,Percentage,0,Units,,,5.068113186,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,1995-Q1,Q1-1995,PC,Percentage,0,Units,,,1.997060055,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,1995-Q2,Q2-1995,PC,Percentage,0,Units,,,-3.857416767,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,1995-Q3,Q3-1995,PC,Percentage,0,Units,,,-4.469924006,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,1995-Q4,Q4-1995,PC,Percentage,0,Units,,,-4.917327789,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,1996-Q1,Q1-1996,PC,Percentage,0,Units,,,-0.771663571,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,1996-Q2,Q2-1996,PC,Percentage,0,Units,,,5.436258599,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,1996-Q3,Q3-1996,PC,Percentage,0,Units,,,8.276059804,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,1996-Q4,Q4-1996,PC,Percentage,0,Units,,,9.410196998,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,1997-Q1,Q1-1997,PC,Percentage,0,Units,,,8.718642749,,
ARG,Argentina,B1_GE,Gross domestic product - expenditure approach,GYSA,"Growth rate compared to the same quarter of previous year, seasonally adjusted",Q,Quarterly,1997-Q2,Q2-1997,PC,Percentage,0,Units,,,7.93033306,,
