Reporter Name,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,"Korea, Rep.",Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russian Federation,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
Argentina,0.0,0.4418,0.026000000000000002,0.7756,18.9567,0.0229,0.6723,6.7319,9.0761,1.1573,0.0707,0.7098,0.0088,0.0457,1.3053,2.1537,0.168,0.0212,0.0029,1.185,0.5794,0.2266,0.3137,2.4108,0.7417,0.8393,0.0504,0.042,0.0023,1.9088,4.2298,0.0557,0.0658,0.6734,0.4773,0.1378,1.3852,0.001,0.0274,1.4424,3.9531,0.0656,1.0825,0.7407,1.1629,7.7147
Australia,0.1315,0.0,0.0245,0.6829,0.7125,0.0134,0.6927,0.1538,14.5704,0.0186,0.0367,0.0768,0.0013,0.4741,0.7914,0.828,0.0399,0.0075,0.0025,6.0903,1.9199,0.096,0.1426,0.7602,22.8691,8.2877,0.0048,0.0025,0.0008,0.3026,1.633,4.2104,0.0804,0.0168,0.0114,0.077,0.4997,0.003,0.0086,1.1032,0.3944,0.2832,0.20199999999999999,0.4508,4.1981,5.4504
Austria,0.0988,0.6386,0.0,1.4552,0.5925,0.7677,0.7299,0.0927,1.5987,0.0697,3.7469,0.7244,0.1154,0.5359,3.7560000000000002,29.7092,0.6374,3.5849,0.0225,0.5196,0.1944,0.2291,0.2376,8.5954,0.8542,0.5615,0.12300000000000001,0.1356,0.1114,0.3291,1.7573,0.0771,0.5023,2.7741,0.3159,2.0535,2.5324,2.021,2.1768,0.4313,2.3631,1.1168,4.221,0.8232,3.153,4.4399
Belgium,0.1012,0.3964,0.9979,0.0,0.5828,0.149,0.6567,0.0964,1.0705,0.0591,0.9342,0.8677,0.0795,0.7203,17.4725,19.7525,0.7040000000000001,0.5474,0.0233,1.5597,0.0986,0.6111,0.6994,4.6798,0.6585,0.3737,0.0625,0.1635,1.8822,0.2654,12.2001,0.0479,0.4644,1.6085,0.6195,0.3422,1.1331,0.268,0.165,0.3832,3.2718,1.4140000000000001,1.4167,1.0878,7.209,4.8813
Brazil,8.8943,0.6329,0.1267,2.2341,0.0,0.0997,0.9428,2.4208,8.3472,1.1595,0.034,0.1618,0.018000000000000002,0.223,2.1164,4.4714,0.1677,0.0493,0.0065,0.5569,0.5775,0.1932,0.2014,2.4073,3.089,1.5830000000000002,0.0206,0.031,0.0365,2.1629,5.2958,0.040999999999999995,0.43700000000000006,0.1665,0.8623,0.1978,2.3507,0.0094,0.1498,0.8865,2.0584,0.3155,0.6729999999999999,0.4123,1.9156,14.0115
Bulgaria,0.1287,0.1016,2.0579,5.902,0.2462,0.0,0.2665,0.013000000000000001,0.7209,0.013000000000000001,0.8887,0.2725,0.0345,0.1866,4.0981,9.0985,9.9199,0.937,0.0008,0.3511,0.0916,0.0855,0.2776,8.366,0.1179,0.2147,0.1215,0.1751,0.0307,0.057999999999999996,1.4214,0.0072,0.2382,1.9096,0.1738,7.2543,2.7138,0.677,0.7866,0.0604,2.2415,0.4623,0.5414,8.8049,2.099,1.5596
Canada,0.0552,0.4436,0.0996,0.7090000000000001,0.5337,0.0165,0.0,0.15,2.1687,0.1469,0.0483,0.0885,0.0049,0.2088,0.6712,0.9263,0.0315,0.0493,0.0106,0.501,0.304,0.0964,0.1206,0.4818,2.2968,0.795,0.0102,0.0126,0.0367,1.2108,0.7658,0.0945,0.5845,0.0822,0.044000000000000004,0.0494,0.3099,0.0126,0.015,0.1943,0.2348,0.1191,0.2687,0.2562,2.6926,77.6466
Chile,1.547,0.5286,0.0141,1.2038,6.0039,0.6709999999999999,1.9308,0.0,13.2068,1.1102,0.0162,0.2557,0.0152,0.3555,3.3152,2.6105,0.0331,0.0046,0.0039,2.0808,0.3233,0.1043,0.0794,4.9909,9.8274,5.1402,0.0246,0.02,0.0005,3.3469,6.0261,0.0506,0.0952,0.2853,0.0676,0.0064,0.5334,0.0009,0.0023,0.2187,2.6899,0.5582,0.3636,0.3813,1.0852,12.4841
China,0.3533,1.555,0.1237,1.0394,1.3146,0.0786,1.5234,0.4324,0.0,0.2088,0.3843,0.3892,0.0411,0.5137,1.6425,4.1385,0.2848,0.4261,0.0065,2.2077,1.2017,0.3022,0.2975,1.8613,8.1172,5.1676,0.0593,0.0741,0.2484,0.9692,3.2095,0.1754,0.179,0.6319,0.162,0.20199999999999999,2.3119,0.1374,0.0674,0.6023,1.4551,0.3576,0.2739,0.7413,2.5213,17.6728
Colombia,0.3523,0.0591,0.0091,1.2231,1.7247,0.0188,0.8677,2.256,1.1773,0.0,0.0219,0.305,0.024,0.1692,0.7733,1.6945,0.031,0.0065,0.0005,0.0417,0.0208,0.1721,0.5212,1.0828,0.9875,0.3006,0.0043,0.0032,0.0541,1.6397,1.9995,0.0167,0.0585,0.0763,0.5183,0.0116,0.247,0.0059,0.0744,0.0629,1.6563,0.1454,2.5129,0.4903,1.7982,37.9761
Czech Republic,0.0298,0.2095,4.7381,2.6826,0.2183,0.4902,0.1337,0.0216,0.5322,0.0132,0.0,0.7924,0.1402,0.6367,5.3989,30.7129,0.3626,2.8411,0.0199,0.4346,0.0426,0.2258,0.2474,4.6594,0.3763,0.1858,0.155,0.3317,0.1423,0.1552,3.9322,0.0233,0.42700000000000005,6.4811,0.3351,1.4681,2.73,9.1983,0.5684,0.217,2.2942,1.7695,1.446,0.5479,4.8059,1.7396
Denmark,0.0911,0.6571,0.6878,1.2559,0.364,0.1298,0.915,0.1152,1.7472,0.053,0.5529999999999999,0.0,0.2869,2.3571,3.9555,15.0787,0.6508,0.5473,0.4264,0.3815,0.0616,1.1912,0.1518,2.7231,1.5227,0.6115,0.3067,0.4225,0.0568,0.2376,3.7419,0.1131,5.9601,2.2199,0.3956,0.2398,1.5934,0.2738,0.096,0.1883,2.4241,13.7455,0.7862,0.6827,7.7238,5.011
Estonia,0.0553,0.0992,0.4068,1.0876,0.2658,0.0487,0.5672,0.0031,0.588,0.0085,0.4991,2.9581,0.0,16.7407,1.2356,4.6113,0.1535,0.1856,0.2739,0.1626,0.0251,0.1405,0.0303,1.1272,0.425,0.1163,9.0679,5.1563,0.0289,0.2935,2.0852,0.0095,3.0477,1.7181,0.1081,0.129,15.1134,0.2116,0.0498,0.0165,0.6288,12.5668,0.2914,1.7492,2.4348,5.648
Finland,0.154,0.8793,0.6406,2.4964,0.9233,0.1314,0.7031,0.2253,3.1417,0.1272,0.5351,2.0958,2.1924,0.0,3.4923,10.0025,0.5041,0.5362,0.0662,0.8071,0.2563,0.4585,0.2826,3.2904,1.8013,0.8706,0.6176,0.5807,0.0602,0.2737,5.1414,0.0949,3.0039999999999996,3.2252,0.478,0.2922,11.6164,0.2163,0.1904,0.6632,2.8786,10.0532,0.8675,0.9793,5.4802,6.3251
France,0.2359,0.8349,0.9141,7.6228,0.8738,0.1694,0.7038,0.154,2.2347,0.1376,0.8268,0.7056,0.0632,0.4662,0.0,14.6074,0.9163,0.6936,0.0166,0.825,0.1495,0.6683,0.3185,8.812999999999999,1.3885,0.748,0.0603,0.1199,0.4913,0.5502,4.2275,0.0813,0.4166,1.6664,1.2726,0.6723,1.7433,0.5091,0.2929,0.4077,8.3964,1.3551,2.9749,1.4134,7.857,5.9058
Germany,0.1885,0.6716,5.4939,4.9827,0.8814,0.2794,0.6362,0.1581,3.4587,0.1046,2.7866,1.6101,0.154,0.9758,9.4481,0.0,0.8086,1.7566,0.0401,0.8321,0.1795,0.5594,0.2781,6.266,1.3002,0.8952,0.1428,0.2409,0.4918,0.6936,6.401,0.0766,0.7898,4.0957,0.8216,0.9084,3.3501,0.8843,0.4366,0.7477,4.3163,2.0328,3.9638,1.5461,6.4841,7.2564
Greece,0.027000000000000003,0.4699,0.7407,1.1618,0.2049,6.4801,0.3858,0.0574,0.6364,0.0085,0.6081,0.5982,0.0328,0.626,3.4535,9.6844,0.0,0.5501,0.0066,0.1896,0.1146,0.3217,0.7261,10.245999999999999,0.4208,0.14,0.1014,0.1314,0.0565,0.3993,2.2323,0.0395,0.2295,1.1373,0.6704,3.9379,2.023,0.2392,1.1987,0.2046,2.6032,0.9109,1.2501,4.2694,4.5131,5.2476
Hungary,0.0195,0.1229,4.9013,1.6939,0.1156,1.026,0.2,0.0137,1.0262,0.0117,3.9797,0.7195,0.1333,0.5078,4.688,26.7157,0.6101,0.0,0.0132,0.1358,0.0137,0.4055,0.3156,5.3222,0.4551,0.3385,0.1676,0.2671,0.0934,0.2964,2.8533,0.0147,0.2349,3.9757,0.5254,5.3041,3.5784,4.7176,1.1601,0.2637,2.7827,1.0171,1.2602,1.2507,4.6722,2.2904
Iceland,0.024,0.1128,0.209,1.5452,0.1233,0.0339,0.4715,0.0874,2.2013,0.0076,0.0356,3.1364,0.035,0.214,3.0604,11.3048,0.5282,0.1877,0.0,0.0313,0.0134,0.2892,0.0073,0.7813,4.381,0.2832,0.0333,1.2759,0.081,0.0483,34.3738,0.0549,4.3578,0.7594,1.8832,0.0621,1.3283,0.0361,0.0031,0.1033,3.8258,0.8381,0.9209999999999999,0.0639,11.6071,5.591
India,0.2094,0.7409,0.2783,2.5943,1.7871,0.042,0.7588,0.228,5.5504,0.3141,0.1007,0.3108,0.0267,0.1462,1.6971,3.2526,0.4178,0.1725,0.0075,0.0,1.4623,0.2224,0.8822,2.1994,1.9928,2.0748,0.0268,0.0351,0.0072,0.3763,3.5899,0.1118,0.2315,0.2883,0.2883,0.1824,0.5998,0.0208,0.0878,1.3642,1.4944,0.3179,0.3872,0.8898,3.6278,11.7712
Indonesia,0.1365,3.0003,0.0254,0.986,0.7245,0.0522,0.4711,0.0936,8.4925,0.0815,0.1061,0.1247,0.0176,0.0791,0.7051,1.7991,0.1564,0.0291,0.0011,5.2279,0.0,0.0656,0.0689,1.3872,20.248,6.6536,0.0077,0.0252,0.0046,0.311,2.8656,0.3958,0.042,0.2001,0.0736,0.0572,0.2498,0.028999999999999998,0.0643,0.4556,1.2154,0.0979,0.3076,0.6361,1.1289,9.546
Ireland,0.0347,0.8640000000000001,0.4552,14.1828,0.2121,0.0755,0.4564,0.0405,1.8627,0.033,0.3851,0.6113,0.0547,0.3878,5.8098,7.0484,0.4188,0.2276,0.0298,0.1863,0.0586,0.0,0.2304,3.4801,1.9773,0.5615,0.065,0.0283,0.1682,0.6266,3.5053,0.0777,0.5770000000000001,0.8648,0.488,0.2975,0.3987,0.0808,0.0324,0.3608,4.1552,1.0104,2.9641,0.465,18.3627,19.3009
Israel,0.204,1.1596,0.1625,7.5298,1.9106,0.0915,1.4702,0.1957,2.1086,0.2719,0.2634,0.2725,0.0223,0.2758,2.124,3.1798,0.4905,0.2847,0.0058,3.8496,0.0258,0.1628,0.0,2.7206,1.4393,1.3341,0.0555,0.0692,0.0334,0.5369,3.318,0.1106,0.1233,0.4681,0.1611,0.3757,1.2664,0.0465,0.2038,0.7506,1.8099,0.2964,1.9734,2.6248,3.0853,32.5611
Italy,0.2376,0.7768,2.3731,2.6324,0.8969,0.5195,0.703,0.1432,1.7369999999999999,0.1081,1.0856,0.732,0.0983,0.4615,11.1621,12.7035,2.117,0.9809,0.0251,0.8263,0.166,0.3791,0.4988,0.0,1.1407,0.6974,0.0977,0.2037,0.1255,0.7531,2.3362,0.1017,0.4712,2.6237,0.9671,1.6791,2.8299,0.55,1.0751,0.3824,6.4868,1.0744,3.9135,2.0046,5.2021,6.2121
